Row,Paper,Cohort,Title,Aim,Year,DOI,Country,Condition,Male_age,Data_from,Trait_description,Trait,Broad_trait,Dura_min,Dura_max,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,sd_7,sd_8,sd_9,sd_10,sd_11,sd_12,sd_13,sd_14,sd_15,sd_16,sd_17,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,Nsamples_1,Nsamples_2,Nsamples_3,Nsamples_4,N_unique_males,N_total,N_test,Test_stat,Value,SE_beta,CI_low_OR,CI_high_OR,Calculation,Multiplier,Sampling,Study_type,Comments
RH219,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% high quality day 3 embryos,Embryo quality,Fertilisation and post-fertilisation,1,20,2.5,12.5,,,,,,,,,,,,,,,,56.8,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,Percent,1,Cross sectional,Retrospective,sample sizes of short abs group (<=4 days) obtained by adding sample sizes from table 7. Sample size of long EA group obtained by subracting that value from 818 (i.e. from total sample size)
RH221,H58,H58A,Revisiting the impact of ejaculatory abstinence on semen quality and intracytoplasmic sperm injection outcomes,Abstinence,2018,https://doi.org/10.1111/andr.12572,Brazil,Infertile,38.17,table 6,% miscarriage rate,Embryo quality,Fertilisation and post-fertilisation,1,20,2.5,12.5,,,,,,,,,,,,,,,,10.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,355,,,,,,,,,,,,,,,,,,,,818,818,,,,,,,Percent,-1,Cross sectional,Retrospective,sample sizes of short abs group (<=4 days) obtained by adding sample sizes from table 7. Sample size of long EA group obtained by subracting that value from 818 (i.e. from total sample size)
RH36,H12,H12B,Characterization of the sperm proteome and reproductive outcomes with in vitro fertilization after a reduction in Male ejaculatory abstinence period,Abstinence,2019,10.1074/mcp.RA117.000541,China,Infertile,32,table 2,Early miscarriage rate %: % miscarraiges divided by total succesful pregnancies,Embryo quality,Fertilisation and post-fertilisation,0.04,7,0.08,5,,,,,,,,,,,,,,,,11.9,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,75,,,,,,,,,,,,,,,,,,,,117,117,,,,,,,Percent,-1,Cross sectional,Prospective,"Live birth rate not included because this could reflect sperm quantity- coz live births is number of live births to total embryos used, and if sperm quantity is not controlled (because this is IVF, not ICSI, where only single sperm is used)"
RH368,H95,H95A,Effect of the sexual abstinence period recommended by the World Health Organization on clinical outcomes of fresh embryo transfer cycles with normal ovarian response after intracytoplasmic sperm injection,Abstinence,2018,https://doi.org/10.1111/and.12964,Korea,Healthy,35.2,table 1,% top quality embryos on day 3,Embryo quality,Fertilisation and post-fertilisation,2,8,4.5,8,,,,,,,,,,,,,,,,13,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,99,,,,,,,,,,,,,,,,,,,,384,384,,,,,,,Percent,1,Cross sectional,Retrospective,
RH369,H95,H95A,Effect of the sexual abstinence period recommended by the World Health Organization on clinical outcomes of fresh embryo transfer cycles with normal ovarian response after intracytoplasmic sperm injection,Abstinence,2018,https://doi.org/10.1111/and.12964,Korea,Healthy,41.4,table 1,% top quality embryos on day 3,Embryo quality,Fertilisation and post-fertilisation,2,8,4.5,8,,,,,,,,,,,,,,,,20.5,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,24,,,,,,,,,,,,,,,,,,,,65,65,,,,,,,Percent,1,Cross sectional,Retrospective,
RH37,H12,H12B,Characterization of the sperm proteome and reproductive outcomes with in vitro fertilization after a reduction in Male ejaculatory abstinence period,Abstinence,2019,10.1074/mcp.RA117.000541,China,Infertile,32,table 2,Early miscarriage rate %: % miscarraiges divided by total succesful pregnancies,Embryo quality,Fertilisation and post-fertilisation,0.04,7,0.08,5,,,,,,,,,,,,,,,,3.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,115,,,,,,,,,,,,,,,,,,,,178,178,,,,,,,Percent,-1,Cross sectional,Prospective,"Live birth rate not included because this could reflect sperm quantity- coz live births is number of live births to total embryos used, and if sperm quantity is not controlled (because this is IVF, not ICSI, where only single sperm is used)"
RH370,H95,H95A,Effect of the sexual abstinence period recommended by the World Health Organization on clinical outcomes of fresh embryo transfer cycles with normal ovarian response after intracytoplasmic sperm injection,Abstinence,2018,https://doi.org/10.1111/and.12964,Korea,Healthy,35.2,table 2,% abortion/miscarriage,Embryo quality,Fertilisation and post-fertilisation,2,8,4.5,8,,,,,,,,,,,,,,,,14.8,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,38,,,,,,,,,,,,,,,,,,,,146,146,,,,,,,Percent,-1,Cross sectional,Retrospective,
RH371,H95,H95A,Effect of the sexual abstinence period recommended by the World Health Organization on clinical outcomes of fresh embryo transfer cycles with normal ovarian response after intracytoplasmic sperm injection,Abstinence,2018,https://doi.org/10.1111/and.12964,Korea,Healthy,41.4,table 2,% abortion/miscarriage,Embryo quality,Fertilisation and post-fertilisation,2,8,4.5,8,,,,,,,,,,,,,,,,22.2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,Percent,-1,Cross sectional,Retrospective,
RH405,H105,H105A,INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.,Abstinence,2015,10.1016/j.fertnstert.2015.07.914,South Korea,Infertile,35,In text results,Oocyte maturation rate % ,Embryo quality,Fertilisation and post-fertilisation,2,7,3,6,,,,,,,,,,,,,,,,90.4,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,64,,,,,,,,,,,,,,,,,,,,131,131,,,,,,,Percent,1,Cross sectional,Retrospective,
RH406,H105,H105A,INFLUENCE OF ABSTINENCE PERIOD ON CLINICAL OUTCOMES IN FRESH EMBRYO TRANSFER AFTER INTRACYTOPLASMIC SPERM INJECTION.,Abstinence,2015,10.1016/j.fertnstert.2015.07.914,South Korea,Infertile,35,In text results,"Fertilisation rate (ICSI)- % embryos fertilised using ICSI, where one sperm inseminated in one egg",Fertilization rate,Fertilisation and post-fertilisation,2,7,3,6,,,,,,,,,,,,,,,,77.5,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,64,,,,,,,,,,,,,,,,,,,,131,131,,,,,,,Percent,1,Cross sectional,Retrospective,
